Acanthopagrus schlegelii
Anguilla japonica
Bos taurus
Canis familiaris
Carassius auratus
Cavia porcellus
Coturnix japonica
Danio rerio
Dicentrarchus labrax
Eublepharis macularius
Gallus gallus
Halichoeres tenuispinis
Haplochromis burtoni
Homo sapiens
Ictalurus punctatus
Kryptolebias marmoratus
Leucoraja erinacea
Micropogonias undulatus
Micropterus salmoides
Mus musculus
Oncorhynchus mykiss
Oreochromis niloticus
Oryctolagus cuniculus
Oryzias latipes
Ovis aries
Pagrus major
Paralichthys olivaceus
Pimephales promelas
Rattus norvegicus
Salmo salar
Sparus aurata
Squalus acanthias
Sus scrofa
Taeniopygia guttata
Xenopus laevis
Xenopus tropicalis
